operation,dominant_branch,Additive (L0),Multiplicative (L1),Smooth NL (L2),Piecewise (L3)
add_1,Piecewise (L3),0.23708480596542358,0.2564924359321594,0.22000761330127716,0.2864151895046234
add_3,Piecewise (L3),0.23583216965198517,0.26046666502952576,0.2198944240808487,0.2838067412376404
add_5,Piecewise (L3),0.23601384460926056,0.2607581317424774,0.2198067009449005,0.2834213376045227
sub_2,Piecewise (L3),0.2311965525150299,0.2162170708179474,0.24438992142677307,0.308196485042572
sub_4,Piecewise (L3),0.23123493790626526,0.21634282171726227,0.2444523721933365,0.307969868183136
mul_2,Piecewise (L3),0.1835278421640396,0.2504397928714752,0.22661787271499634,0.33941447734832764
mul_3,Piecewise (L3),0.19315017759799957,0.24458792805671692,0.13338476419448853,0.4288771152496338
div_2,Piecewise (L3),0.26012158393859863,0.2622937262058258,0.19786208868026733,0.2797226309776306
div_3,Multiplicative (L1),0.26341602206230164,0.2685568928718567,0.2049621343612671,0.2630649507045746
sqrt,Piecewise (L3),0.25615212321281433,0.2622913420200348,0.20867089927196503,0.27288568019866943
affine_1.1x+1,Piecewise (L3),0.2229185849428177,0.24699315428733826,0.21457868814468384,0.31550952792167664
affine_0.9x+2,Piecewise (L3),0.251399964094162,0.25815755128860474,0.23074258863925934,0.25969991087913513
