operation,mae_rollout,pe_confidence,dominant_branch
add_1,0.04584059864282608,0.6136090159416199,PW
add_3,0.11885643005371094,0.6136844158172607,PW
add_5,0.19205017387866974,0.6136954426765442,PW
sub_2,0.7260371446609497,0.6137143969535828,PW
sub_4,1.4867727756500244,0.6137071847915649,PW
mul_2,12610.798828125,0.46030735969543457,PW
mul_3,18829.484375,0.5544658899307251,PW
div_2,0.006800232920795679,0.6142576336860657,PW
div_3,0.0031485226936638355,0.6142800450325012,Mul
sqrt,0.004231625702232122,0.6142498850822449,Mul
affine_1.1x+1,2.780141830444336,0.61302649974823,PW
affine_0.9x+2,0.043900392949581146,0.6139450073242188,Mul
mod_add3_17,5.25330114364624,0.6143414974212646,PW
mod_add7_17,16.5588436126709,0.6143434643745422,PW
