operation,dominant_branch,Additive (L0),Multiplicative (L1),Smooth NL (L2),Piecewise (L3)
add_1,Piecewise (L3),0.19255687296390533,0.2467833012342453,0.20577943325042725,0.3548804223537445
add_3,Piecewise (L3),0.19208656251430511,0.2504720389842987,0.20710207521915436,0.3503393530845642
add_5,Piecewise (L3),0.19224871695041656,0.2510490119457245,0.20729288458824158,0.34940943121910095
sub_2,Piecewise (L3),0.15837320685386658,0.1455681324005127,0.2293514609336853,0.4667072594165802
sub_4,Piecewise (L3),0.15849311649799347,0.14562927186489105,0.22947771847248077,0.4663998782634735
mul_2,Piecewise (L3),0.1786518394947052,0.2606068551540375,0.21515490114688873,0.3455864191055298
mul_3,Piecewise (L3),0.1432984471321106,0.21579451858997345,0.1515984982252121,0.48930853605270386
div_2,Piecewise (L3),0.33548542857170105,0.11095158010721207,0.11623901128768921,0.4373239576816559
div_3,Piecewise (L3),0.3726695775985718,0.10140268504619598,0.09957090020179749,0.42635682225227356
sqrt,Piecewise (L3),0.3478153645992279,0.11933520436286926,0.11743627488613129,0.41541317105293274
affine_1.1x+1,Piecewise (L3),0.17397311329841614,0.24303346872329712,0.19473475217819214,0.38825860619544983
affine_0.9x+2,Piecewise (L3),0.2048729658126831,0.25359973311424255,0.19619344174861908,0.34533384442329407
